31283,Herberta Zbigniewa,
31283,Zbigniewa Herberta,
31466,Osieckiej,Agnieszki
31466,Osieckiej Agnieszki,
31466,Agnieszki Osieckiej,
32033,Frycza Modrzewskiego,
32033,Frycza-Modrzewskiego,
32033,Modrzewskiego,
32202,Madalińskiego,Antoniego
32202,Madalińskiego Antoniego,
32202,Antoniego Madalińskiego,
33487,Poniatowskiego,ks. Józefa
33487,Poniatowskiego ks. Józefa,
33487,ks. Józefa Poniatowskiego,
34315,Inwestycyjna,
34755,Druyffa Jana,
34755,Druyffa Jana,
34755,Jana Druyffa,
36312,Bitwy Warszawskiej,
36561,Szarmacha,Stanisława
36561,Szarmacha Stanisława,
36561,Stanisława Szarmacha,
36562,Bytnerowicza,Jerzego
36562,Bytnerowicza Jerzego,
36562,Jerzego Bytnerowicza,
36748,Herbsta,prof. Stanisława
36748,Herbsta prof. Stanisława,
36748,prof. Stanisława Herbsta,
36749,Pomorskich,Książąt
36749,Pomorskich Książąt,
36749,Książąt Pomorskich,
37216,Fogga,Mieczysława
37216,Fogga Mieczysława,
37216,Mieczysława Fogga,
37217,Kaczmarskiego,Jacka
37217,Kaczmarskiego Jacka,
37217,Jacka Kaczmarskiego,
37219,Niemena,Czesława
37219,Niemena Czesława,
37219,Czesława Niemena,
37415,Nowaka-Jeziorańskiego,Jana
37415,Nowaka-Jeziorańskiego Jana,
37415,Jana Nowaka-Jeziorańskiego,
37884,Sowińskiego,Generała Józefa
37884,Sowińskiego Generała Józefa,
37884,Generała Józefa Sowińskiego,
38223,Chłopickiego,Generała Józefa
38223,Chłopickiego Generała Józefa,
38223,Generała Józefa Chłopickiego,
38321,Pio,Świętego Ojca
38321,Pio,
38321,Ojca Pio,
38321,Pio Świętego Ojca,
38321,Świętego Ojca Pio,
38322,Łajming,Anny
38322,Łajming Anny,
38322,Anny Łajming,
38746,Staniuków,Braci
38746,Braci Staniuków,
38746,Staniuków Braci,
38746,Braci Staniuków,
39632,Hallera,gen. Józefa
39632,Hallera gen. Józefa,
39632,gen. Józefa Hallera,
39985,Piotra,Świętego
39985,Św. Piotra,
39985,Piotra Świętego,
39985,Świętego Piotra,
39989,Bora-Komorowskiego,Generała Tadeusza
39989,Bora-Komorowskiego Generała Tadeusza,
39989,Generała Tadeusza Bora-Komorowskiego,
40077,Nalepy,Tadeusza
40077,Nalepy Tadeusza,
40077,Tadeusza Nalepy,
40269,Grechuty,Marka
40269,Grechuty Marka,
40269,Marka Grechuty,
40841,"Rondo ""Solidarności""",
41071,Josepha,Rabina dr. Maxa
41071,Josepha Rabina dr. Maxa,
41071,Rabina dr. Maxa Josepha,
41478,Religi,prof. Zbigniewa
41478,Religi prof. Zbigniewa,
41478,prof. Zbigniewa Religi,
42548,Rondo Jacka Kuronia,
44137,Rondo Zesłańców Sybiru,
44214,Przybory,Jeremiego
44214,Przybory Jeremiego,
44214,Jeremiego Przybory,
